song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
Another One,Mac DeMarco,0.694,0.407,1,-10.325,0,0.0276,0.821,0.021,0.106,0.719,147.684,audio_features,3pXAa69soxZ98bQ1gr18HO,spotify:track:3pXAa69soxZ98bQ1gr18HO,https://api.spotify.com/v1/tracks/3pXAa69soxZ98bQ1gr18HO,https://api.spotify.com/v1/audio-analysis/3pXAa69soxZ98bQ1gr18HO,160991,4,2
Anti-Pioneer,Feist,0.414,0.178,11,-10.557,0,0.0321,0.194,0.00412,0.125,0.036,87.728,audio_features,2cDvWgK22tolskQ4uiVxWb,spotify:track:2cDvWgK22tolskQ4uiVxWb,https://api.spotify.com/v1/tracks/2cDvWgK22tolskQ4uiVxWb,https://api.spotify.com/v1/audio-analysis/2cDvWgK22tolskQ4uiVxWb,333307,3,2
Any Day Will Do Fine,Michael Kiwanuka,0.522,0.379,8,-11.737,1,0.0318,0.655,0.0,0.11,0.4,104.998,audio_features,5U7r8PAmvfILOMjmFeYlDL,spotify:track:5U7r8PAmvfILOMjmFeYlDL,https://api.spotify.com/v1/tracks/5U7r8PAmvfILOMjmFeYlDL,https://api.spotify.com/v1/audio-analysis/5U7r8PAmvfILOMjmFeYlDL,217808,4,2
Any Other Way,Bahamas,0.431,0.239,0,-13.248,1,0.122,0.892,0.0,0.4,0.335,155.833,audio_features,6rZdXG8fkei9ksN46QrxXu,spotify:track:6rZdXG8fkei9ksN46QrxXu,https://api.spotify.com/v1/tracks/6rZdXG8fkei9ksN46QrxXu,https://api.spotify.com/v1/audio-analysis/6rZdXG8fkei9ksN46QrxXu,63213,4,2
"Aqui, Ali, Em Qualquer Lugar",Rita Lee,0.609,0.261,4,-15.079,1,0.0304,0.822,1.12e-06,0.0798,0.376,92.059,audio_features,7LYqeyKiDMWPnU6tzfqSwE,spotify:track:7LYqeyKiDMWPnU6tzfqSwE,https://api.spotify.com/v1/tracks/7LYqeyKiDMWPnU6tzfqSwE,https://api.spotify.com/v1/audio-analysis/7LYqeyKiDMWPnU6tzfqSwE,149133,4,2
Arrival in Nara,alt-J,0.484,0.0823,9,-20.53,0,0.0533,0.963,0.114,0.111,0.175,119.523,audio_features,4BVm9zEoX4Z73LeFAab0PC,spotify:track:4BVm9zEoX4Z73LeFAab0PC,https://api.spotify.com/v1/tracks/4BVm9zEoX4Z73LeFAab0PC,https://api.spotify.com/v1/audio-analysis/4BVm9zEoX4Z73LeFAab0PC,253418,4,2
Arsonist's Lullabye,Hozier,0.463,0.373,6,-10.666,0,0.0362,0.673,0.0745,0.118,0.184,64.831,audio_features,1UWhx0pFZccP4jdCIZsj7U,spotify:track:1UWhx0pFZccP4jdCIZsj7U,https://api.spotify.com/v1/tracks/1UWhx0pFZccP4jdCIZsj7U,https://api.spotify.com/v1/audio-analysis/1UWhx0pFZccP4jdCIZsj7U,266547,4,2
The Art School Kids,Slow Hollows,0.497,0.39,11,-18.198,0,0.029,0.301,0.0211,0.386,0.547,111.674,audio_features,4qFs7hvgJ6VRgh1GF8Ynjb,spotify:track:4qFs7hvgJ6VRgh1GF8Ynjb,https://api.spotify.com/v1/tracks/4qFs7hvgJ6VRgh1GF8Ynjb,https://api.spotify.com/v1/audio-analysis/4qFs7hvgJ6VRgh1GF8Ynjb,146365,4,2
Artifacts,Ariane Moffatt,0.51,0.477,4,-13.192,1,0.0437,0.791,0.342,0.111,0.464,88.093,audio_features,3VHVrLisG9hIsQERpIwGqY,spotify:track:3VHVrLisG9hIsQERpIwGqY,https://api.spotify.com/v1/tracks/3VHVrLisG9hIsQERpIwGqY,https://api.spotify.com/v1/audio-analysis/3VHVrLisG9hIsQERpIwGqY,222293,4,2
Ask Me Why - Remastered 2009,The Beatles,0.605,0.394,4,-11.33,1,0.0378,0.767,0.0,0.0967,0.597,133.942,audio_features,7529Z6b1rlGZFFPWjHPeV5,spotify:track:7529Z6b1rlGZFFPWjHPeV5,https://api.spotify.com/v1/tracks/7529Z6b1rlGZFFPWjHPeV5,https://api.spotify.com/v1/audio-analysis/7529Z6b1rlGZFFPWjHPeV5,146533,4,2
Auld Lang Syne,Sufjan Stevens,0.758,0.243,7,-10.055,1,0.0372,0.789,3.57e-06,0.126,0.655,111.54,audio_features,6Q90kBnnL27pCMjIhP4k2Y,spotify:track:6Q90kBnnL27pCMjIhP4k2Y,https://api.spotify.com/v1/tracks/6Q90kBnnL27pCMjIhP4k2Y,https://api.spotify.com/v1/audio-analysis/6Q90kBnnL27pCMjIhP4k2Y,94720,4,2
Avant l'aube,Dumas,0.537,0.533,9,-9.052,1,0.0304,0.461,0.183,0.179,0.423,100.987,audio_features,1G4A6J2eXmzve4ripibqN8,spotify:track:1G4A6J2eXmzve4ripibqN8,https://api.spotify.com/v1/tracks/1G4A6J2eXmzve4ripibqN8,https://api.spotify.com/v1/audio-analysis/1G4A6J2eXmzve4ripibqN8,307613,4,2
Ave Maria (feat. Cat Martino),Sufjan Stevens,0.17,0.131,3,-17.882,1,0.033,0.881,1.45e-05,0.121,0.137,176.937,audio_features,24wNXaxm9GOP5EHOvlJrrq,spotify:track:24wNXaxm9GOP5EHOvlJrrq,https://api.spotify.com/v1/tracks/24wNXaxm9GOP5EHOvlJrrq,https://api.spotify.com/v1/audio-analysis/24wNXaxm9GOP5EHOvlJrrq,128520,3,2
Baby Blue,King Krule,0.468,0.331,3,-11.052,1,0.036,0.613,0.00108,0.129,0.09,102.448,audio_features,1jhtxc7ON8ZzgvWGPwWXUN,spotify:track:1jhtxc7ON8ZzgvWGPwWXUN,https://api.spotify.com/v1/tracks/1jhtxc7ON8ZzgvWGPwWXUN,https://api.spotify.com/v1/audio-analysis/1jhtxc7ON8ZzgvWGPwWXUN,215507,4,2
Baby It's You - Remastered 2009,The Beatles,0.608,0.494,4,-12.211,0,0.0345,0.778,0.0,0.0926,0.879,112.421,audio_features,2VmB1rF9FtfKUmFHDVnq8Q,spotify:track:2VmB1rF9FtfKUmFHDVnq8Q,https://api.spotify.com/v1/tracks/2VmB1rF9FtfKUmFHDVnq8Q,https://api.spotify.com/v1/audio-analysis/2VmB1rF9FtfKUmFHDVnq8Q,160520,4,2
Bad Ritual,Timber Timbre,0.65,0.261,9,-10.247,0,0.0298,0.494,0.0573,0.149,0.386,75.679,audio_features,6OAdXCQJKkUqoYSQS0A4rU,spotify:track:6OAdXCQJKkUqoYSQS0A4rU,https://api.spotify.com/v1/tracks/6OAdXCQJKkUqoYSQS0A4rU,https://api.spotify.com/v1/audio-analysis/6OAdXCQJKkUqoYSQS0A4rU,187227,4,2
Bar Italia,Pulp,0.438,0.597,5,-6.255,1,0.0406,0.395,5.17e-05,0.158,0.109,124.58,audio_features,01HraRiyqu51c9bafDTg5W,spotify:track:01HraRiyqu51c9bafDTg5W,https://api.spotify.com/v1/tracks/01HraRiyqu51c9bafDTg5W,https://api.spotify.com/v1/audio-analysis/01HraRiyqu51c9bafDTg5W,223267,1,2
